Criterio,N.. de Contratos SCR,Valorizacao em carteira SCR,N.. de Contratos  FCR,Valorizacao em carteira FCR,N.. de Contratos  Total,Valorizacao em carteira Total
Multiplo,0,0,4,0,4,0
Valor de mercado,0,0,10,0,10,0
Avaliacao,25,547.9,225,4584.9,250,5132.8
"Indexada a perfomance da empresa, com min e maximo definidos",2,67.7,5,0,7,67.7
Indexado a performance da empresa,3,-14.6,7,-45.6,10,-60.2
Capitalizacao do valor de aquisicao (indexado a Euribor),7,300,13,47937.4,20,48237.4
Valor de aquisicao,0,0,0,0,0,0
Preco Fixo,1,0,19,25648.5,20,25648.5
Valorizacao anual fixa,0,0,16,28369.9,16,28369.9
Contrato (define formula de calculo),4,0,68,-244.2,72,-244.2
Indexado aos subsidios recebidos,0,0,0,0,0,0
"Omisso, nao identificado",1,298.1,0,0,1,298.1
Total,43,1199.1,367,106250.9,409,107151.9
