Metodologia de Valorizacao,Valias Potenciais SCR,Valias Potenciais FCR,Valias Potenciais Total
Valor de aquisicao,16.1,-1379.7,-1363.6
Preco de mercado,-1295.7,-56172.4,-57468.1
Transacoes relevantes,407.1,-932.5,-525.4
Multiplos,10833,48606.5,59439.5
Fluxos de caixa descontados (DCF),-75286.6,-149427.7,-224714.3
NAV,-5004.8,5.6,-4999.2
Valor de aquisicao (factor de desconto),0,0,0
Preco de mercado (factor de desconto),108.8,-56.8,52
Transacoes relevantes (factor de desconto),0,858.9,858.9
Multiplos (factor de desconto),4223.2,-511,3712.2
Fluxos de caixa descontados (DCF) (factor de desconto),2499.9,-51754.9,-49255
Outros (1),-4548.1,0,-4548.1
Total,-68047.1,-210764,-278811.1
