Tipo de investimento,SCR,VAR 2011/2010,FCR,VAR 2011/2010,Total,var 2011/2010
Participacoes em capital social (cotadas),3,25,5,0,8,-11.1
Em Empresas Residentes,1,50,3,0,4,-20
Em Empresas Nao residentes,2,0,2,0,4,0
Participacoes em capital social (nao cotadas),102,-2.9,526,6.9,628,5.2
Em Empresas Residentes,77,-7.2,486,7.5,563,5.2
Em Empresas Nao residentes,25,-13.6,40,0,65,4.8
Investimento em UP de FCR,33,57.1,11,175,44,76
Em Empresas Residentes,33,57.1,11,175,44,76
Em Empresas Nao residentes,0,,0,0,0,
Outros Investimentos (1),56,-8.2,390,20,446,15.5
Em Empresas Residentes,53,-10.2,377,20.8,430,15.9
Em Empresas Nao residentes,3,50,13,0,16,6.7
Total,194,1.6,932,12.8,1126,10.7
