,Aquisicoes SCR,Alienacoes SCR,Invest. Liquido SCR,N.. Trans. SCR,Aquisicoes FCR,Alienacoes FCR,Invest. Liquido FCR,N.. Trans. FCR,Aquisicoes Total,Alienacoes Total,Invest. Liquido Total,N.. Trans. Total
Outros,14424.7,493,13931.7,11,2308.5,0,2308.5,11,16733.2,493,16240.2,22
Refin. Divida bancaria,0,0,0,0,7662.7,0,7662.7,9,7662.7,0,7662.7,9
Early-stage,296.1,486.1,-190,6,6666.8,0,6666.8,17,6962.9,486.1,6476.8,23
Start-up,591.6,1151,-559.4,14,10284.8,4784.9,5499.9,85,10876.4,5935.9,4940.5,99
Management buy out,0,0,0,0,58555,2912.1,55642.9,2,58555,2912.1,55642.9,2
Management buy in,100,0,100,1,1929,0,1929,2,2029,0,2029,3
Seed Caoital,30,0,30,1,1445,0,1445,3,1475,0,1475,4
Turnaround,0,0,0,0,1298,361,937,15,1298,361,937,15
Expansao,4697,7103.1,-2406.1,8,11329.3,10601.6,727.7,41,16026.3,17704.7,-1678.4,49
Capital de Substituicao,0,0,0,0,32,24121.1,-24089.1,4,32,24121.1,-24089.1,4
Total,20139.4,9233.2,10906.2,41,101511.1,42780.7,58730.4,189,121650.5,52013.9,69636.6,230
