% Capital Detido,N.. de participacoes SCR,% Part. SCR,Valorizacoes SCR,% Valor SCR,N.. de participacoes FCR,% Part. FCR,Valorizacoes FCR,% Valor FCR,N.. de participacoes Total,% Part. Total,Valorizacoes Total,% Valor Total
[0-10[,51,0.4857142857,190790296.3,0.3764725134,124,0.2335216573,143545432.1,0.1976779605,175,0.2751572327,334335728.4,0.2711690354
[10-20[,16,0.1523809524,23421556.4,0.04621604126,121,0.2278719397,250921824,0.3455471462,137,0.215408805,274343380.4,0.2225111572
[20-30[,14,0.1333333333,5054560.9,0.0099737947,78,0.1468926554,103987361.7,0.1432021157,92,0.1446540881,109041922.6,0.08844042217
[30-40[,6,0.05714285714,46075393.5,0.09091719827,53,0.09981167608,121681784.9,0.1675692965,59,0.0927672956,167757178.4,0.1360624916
[40-50[,6,0.05714285714,994581.1,0.001962534016,53,0.09981167608,28534533.7,0.03929521367,59,0.0927672956,29529114.8,0.02395012227
[50-60[,5,0.04761904762,234151195.1,0.4620333982,18,0.03389830508,17116873.2,0.02357183043,23,0.03616352201,251268068.3,0.2037955083
[60-70[,1,0.009523809524,4700611.8,0.009275372874,14,0.0263653484,3073710.3,0.004232839558,15,0.02358490566,7774322.1,0.006305504454
[70-80[,1,0.009523809524,322843.4,0.000637043228,11,0.02071563089,8515164.1,0.01172632419,12,0.01886792453,8838007.5,0.007168225723
[80-90[,1,0.009523809524,166400,0.0003283449287,10,0.01883239171,7118568.7,0.009803057623,11,0.01729559748,7284968.7,0.005908605534
[90-100],4,0.0380952381,1106694.5,0.002183759175,49,0.0922787194,41662745.5,0.05737421553,53,0.08333333333,42769440,0.03468892734
Total,105,1,506784133,1,531,1,726157998.2,1,636,1,1232942131,1
